0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,0,0,0,0,0,0,0,0,0,4,8,22
0,0,0,0,0,0,0,0,0,0,0,4,8,22,22
0,0,0,0,0,0,0,0,0,0,4,8,22,22,21
0,0,0,0,0,0,0,0,0,4,8,22,22,21,3
0,0,0,0,0,0,0,0,4,8,22,22,21,3,21
0,0,0,0,0,0,0,4,8,22,22,21,3,21,21
0,0,0,0,0,0,4,8,22,22,21,3,21,21,0
0,0,0,0,0,4,8,22,22,21,3,21,21,0,12
0,0,0,0,4,8,22,22,21,3,21,21,0,12,13
0,0,0,4,8,22,22,21,3,21,21,0,12,13,16
0,0,4,8,22,22,21,3,21,21,0,12,13,16,21
0,4,8,22,22,21,3,21,21,0,12,13,16,21,19
4,8,22,22,21,3,21,21,0,12,13,16,21,19,19
8,22,22,21,3,21,21,0,12,13,16,21,19,19,2
22,22,21,3,21,21,0,12,13,16,21,19,19,2,19
22,21,3,21,21,0,12,13,16,21,19,19,2,19,19
21,3,21,21,0,12,13,16,21,19,19,2,19,19,19
3,21,21,0,12,13,16,21,19,19,2,19,19,19,1
21,21,0,12,13,16,21,19,19,2,19,19,19,1,11
0,0,0,0,0,0,0,0,0,0,0,0,4,8,22
0,0,0,0,0,0,0,0,0,0,0,4,8,22,22
0,0,0,0,0,0,0,0,0,0,4,8,22,22,21
0,0,0,0,0,0,0,0,0,4,8,22,22,21,3
0,0,0,0,0,0,0,0,4,8,22,22,21,3,21
0,0,0,0,0,0,0,4,8,22,22,21,3,21,0
0,0,0,0,0,0,4,8,22,22,21,3,21,0,12
0,0,0,0,0,4,8,22,22,21,3,21,0,12,13
0,0,0,0,4,8,22,22,21,3,21,0,12,13,16
0,0,0,4,8,22,22,21,3,21,0,12,13,16,21
0,0,4,8,22,22,21,3,21,0,12,13,16,21,19
0,4,8,22,22,21,3,21,0,12,13,16,21,19,19
4,8,22,22,21,3,21,0,12,13,16,21,19,19,2
8,22,22,21,3,21,0,12,13,16,21,19,19,2,19
22,22,21,3,21,0,12,13,16,21,19,19,2,19,19
22,21,3,21,0,12,13,16,21,19,19,2,19,19,24
21,3,21,0,12,13,16,21,19,19,2,19,19,24,24
3,21,0,12,13,16,21,19,19,2,19,19,24,24,9
21,0,12,13,16,21,19,19,2,19,19,24,24,9,15
0,12,13,16,21,19,19,2,19,19,24,24,9,15,24
12,13,16,21,19,19,2,19,19,24,24,9,15,24,10
13,16,21,19,19,2,19,19,24,24,9,15,24,10,7
0,0,0,0,0,0,0,0,0,0,0,0,4,21,21
0,0,0,0,0,0,0,0,0,0,0,4,21,21,3
0,0,0,0,0,0,0,0,0,0,4,21,21,3,0
0,0,0,0,0,0,0,0,0,4,21,21,3,0,12
0,0,0,0,0,0,0,0,4,21,21,3,0,12,13
0,0,0,0,0,0,0,4,21,21,3,0,12,13,16
0,0,0,0,0,0,4,21,21,3,0,12,13,16,21
0,0,0,0,0,4,21,21,3,0,12,13,16,21,19
0,0,0,0,4,21,21,3,0,12,13,16,21,19,19
0,0,0,4,21,21,3,0,12,13,16,21,19,19,2
0,0,4,21,21,3,0,12,13,16,21,19,19,2,19
0,4,21,21,3,0,12,13,16,21,19,19,2,19,19
4,21,21,3,0,12,13,16,21,19,19,2,19,19,19
21,21,3,0,12,13,16,21,19,19,2,19,19,19,1
21,3,0,12,13,16,21,19,19,2,19,19,19,1,11
0,0,0,0,0,0,0,0,0,0,0,0,4,8,22
0,0,0,0,0,0,0,0,0,0,0,4,8,22,22
0,0,0,0,0,0,0,0,0,0,4,8,22,22,21
0,0,0,0,0,0,0,0,0,4,8,22,22,21,3
0,0,0,0,0,0,0,0,4,8,22,22,21,3,21
0,0,0,0,0,0,0,4,8,22,22,21,3,21,21
0,0,0,0,0,0,4,8,22,22,21,3,21,21,21
0,0,0,0,0,4,8,22,22,21,3,21,21,21,0
0,0,0,0,4,8,22,22,21,3,21,21,21,0,12
0,0,0,4,8,22,22,21,3,21,21,21,0,12,13
0,0,4,8,22,22,21,3,21,21,21,0,12,13,16
0,4,8,22,22,21,3,21,21,21,0,12,13,16,21
4,8,22,22,21,3,21,21,21,0,12,13,16,21,19
8,22,22,21,3,21,21,21,0,12,13,16,21,19,19
22,22,21,3,21,21,21,0,12,13,16,21,19,19,2
22,21,3,21,21,21,0,12,13,16,21,19,19,2,19
21,3,21,21,21,0,12,13,16,21,19,19,2,19,19
3,21,21,21,0,12,13,16,21,19,19,2,19,19,19
21,21,21,0,12,13,16,21,19,19,2,19,19,19,19
21,21,0,12,13,16,21,19,19,2,19,19,19,19,24
21,0,12,13,16,21,19,19,2,19,19,19,19,24,24
0,12,13,16,21,19,19,2,19,19,19,19,24,24,9
12,13,16,21,19,19,2,19,19,19,19,24,24,9,15
13,16,21,19,19,2,19,19,19,19,24,24,9,15,24
16,21,19,19,2,19,19,19,19,24,24,9,15,24,20
21,19,19,2,19,19,19,19,24,24,9,15,24,20,20
19,19,2,19,19,19,19,24,24,9,15,24,20,20,6
19,2,19,19,19,19,24,24,9,15,24,20,20,6,20
2,19,19,19,19,24,24,9,15,24,20,20,6,20,20
19,19,19,19,24,24,9,15,24,20,20,6,20,20,20
19,19,19,24,24,9,15,24,20,20,6,20,20,20,20
19,19,24,24,9,15,24,20,20,6,20,20,20,20,24
19,24,24,9,15,24,20,20,6,20,20,20,20,24,24
24,24,9,15,24,20,20,6,20,20,20,20,24,24,9
24,9,15,24,20,20,6,20,20,20,20,24,24,9,24
9,15,24,20,20,6,20,20,20,20,24,24,9,24,5
15,24,20,20,6,20,20,20,20,24,24,9,24,5,14
0,0,0,0,0,0,0,0,0,0,0,0,4,8,22
0,0,0,0,0,0,0,0,0,0,0,4,8,22,22
0,0,0,0,0,0,0,0,0,0,4,8,22,22,21
0,0,0,0,0,0,0,0,0,4,8,22,22,21,3
0,0,0,0,0,0,0,0,4,8,22,22,21,3,21
0,0,0,0,0,0,0,4,8,22,22,21,3,21,0
0,0,0,0,0,0,4,8,22,22,21,3,21,0,12
0,0,0,0,0,4,8,22,22,21,3,21,0,12,13
0,0,0,0,4,8,22,22,21,3,21,0,12,13,16
0,0,0,4,8,22,22,21,3,21,0,12,13,16,21
0,0,4,8,22,22,21,3,21,0,12,13,16,21,19
0,4,8,22,22,21,3,21,0,12,13,16,21,19,19
4,8,22,22,21,3,21,0,12,13,16,21,19,19,2
8,22,22,21,3,21,0,12,13,16,21,19,19,2,19
22,22,21,3,21,0,12,13,16,21,19,19,2,19,19
22,21,3,21,0,12,13,16,21,19,19,2,19,19,19
21,3,21,0,12,13,16,21,19,19,2,19,19,19,19
3,21,0,12,13,16,21,19,19,2,19,19,19,19,24
21,0,12,13,16,21,19,19,2,19,19,19,19,24,24
0,12,13,16,21,19,19,2,19,19,19,19,24,24,9
12,13,16,21,19,19,2,19,19,19,19,24,24,9,15
13,16,21,19,19,2,19,19,19,19,24,24,9,15,24
16,21,19,19,2,19,19,19,19,24,24,9,15,24,24
21,19,19,2,19,19,19,19,24,24,9,15,24,24,24
19,19,2,19,19,19,19,24,24,9,15,24,24,24,24
19,2,19,19,19,19,24,24,9,15,24,24,24,24,24
2,19,19,19,19,24,24,9,15,24,24,24,24,24,24
19,19,19,19,24,24,9,15,24,24,24,24,24,24,20
19,19,19,24,24,9,15,24,24,24,24,24,24,20,20
19,19,24,24,9,15,24,24,24,24,24,24,20,20,6
19,24,24,9,15,24,24,24,24,24,24,20,20,6,20
24,24,9,15,24,24,24,24,24,24,20,20,6,20,20
24,9,15,24,24,24,24,24,24,20,20,6,20,20,20
9,15,24,24,24,24,24,24,20,20,6,20,20,20,24
15,24,24,24,24,24,24,20,20,6,20,20,20,24,24
24,24,24,24,24,24,20,20,6,20,20,20,24,24,9
24,24,24,24,24,20,20,6,20,20,20,24,24,9,24
24,24,24,24,20,20,6,20,20,20,24,24,9,24,24
24,24,24,20,20,6,20,20,20,24,24,9,24,24,20
24,24,20,20,6,20,20,20,24,24,9,24,24,20,20
24,20,20,6,20,20,20,24,24,9,24,24,20,20,6
20,20,6,20,20,20,24,24,9,24,24,20,20,6,20
20,6,20,20,20,24,24,9,24,24,20,20,6,20,24
6,20,20,20,24,24,9,24,24,20,20,6,20,24,24
20,20,20,24,24,9,24,24,20,20,6,20,24,24,9
20,20,24,24,9,24,24,20,20,6,20,24,24,9,24
20,24,24,9,24,24,20,20,6,20,24,24,9,24,10
24,24,9,24,24,20,20,6,20,24,24,9,24,10,7
0,0,0,0,0,0,0,0,0,0,0,0,4,8,22
0,0,0,0,0,0,0,0,0,0,0,4,8,22,22
0,0,0,0,0,0,0,0,0,0,4,8,22,22,22
0,0,0,0,0,0,0,0,0,4,8,22,22,22,21
0,0,0,0,0,0,0,0,4,8,22,22,22,21,21
0,0,0,0,0,0,0,4,8,22,22,22,21,21,3
0,0,0,0,0,0,4,8,22,22,22,21,21,3,21
0,0,0,0,0,4,8,22,22,22,21,21,3,21,21
0,0,0,0,4,8,22,22,22,21,21,3,21,21,0
0,0,0,4,8,22,22,22,21,21,3,21,21,0,12
0,0,4,8,22,22,22,21,21,3,21,21,0,12,13
0,4,8,22,22,22,21,21,3,21,21,0,12,13,16
4,8,22,22,22,21,21,3,21,21,0,12,13,16,21
8,22,22,22,21,21,3,21,21,0,12,13,16,21,19
22,22,22,21,21,3,21,21,0,12,13,16,21,19,19
22,22,21,21,3,21,21,0,12,13,16,21,19,19,2
22,21,21,3,21,21,0,12,13,16,21,19,19,2,19
21,21,3,21,21,0,12,13,16,21,19,19,2,19,19
21,3,21,21,0,12,13,16,21,19,19,2,19,19,19
3,21,21,0,12,13,16,21,19,19,2,19,19,19,19
21,21,0,12,13,16,21,19,19,2,19,19,19,19,24
21,0,12,13,16,21,19,19,2,19,19,19,19,24,24
0,12,13,16,21,19,19,2,19,19,19,19,24,24,9
12,13,16,21,19,19,2,19,19,19,19,24,24,9,15
13,16,21,19,19,2,19,19,19,19,24,24,9,15,24
16,21,19,19,2,19,19,19,19,24,24,9,15,24,24
21,19,19,2,19,19,19,19,24,24,9,15,24,24,24
19,19,2,19,19,19,19,24,24,9,15,24,24,24,24
19,2,19,19,19,19,24,24,9,15,24,24,24,24,24
2,19,19,19,19,24,24,9,15,24,24,24,24,24,24
19,19,19,19,24,24,9,15,24,24,24,24,24,24,24
19,19,19,24,24,9,15,24,24,24,24,24,24,24,24
19,19,24,24,9,15,24,24,24,24,24,24,24,24,24
19,24,24,9,15,24,24,24,24,24,24,24,24,24,24
24,24,9,15,24,24,24,24,24,24,24,24,24,24,24
24,9,15,24,24,24,24,24,24,24,24,24,24,24,24
9,15,24,24,24,24,24,24,24,24,24,24,24,24,24
15,24,24,24,24,24,24,24,24,24,24,24,24,24,20
24,24,24,24,24,24,24,24,24,24,24,24,24,20,20
24,24,24,24,24,24,24,24,24,24,24,24,20,20,6
24,24,24,24,24,24,24,24,24,24,24,20,20,6,20
24,24,24,24,24,24,24,24,24,24,20,20,6,20,20
24,24,24,24,24,24,24,24,24,20,20,6,20,20,20
24,24,24,24,24,24,24,24,20,20,6,20,20,20,20
24,24,24,24,24,24,24,20,20,6,20,20,20,20,20
24,24,24,24,24,24,20,20,6,20,20,20,20,20,20
24,24,24,24,24,20,20,6,20,20,20,20,20,20,24
24,24,24,24,20,20,6,20,20,20,20,20,20,24,24
24,24,24,20,20,6,20,20,20,20,20,20,24,24,9
24,24,20,20,6,20,20,20,20,20,20,24,24,9,24
